Rank,Business Name,Phone Number,Rating,Review Count,Address,City,State,ZIP,Website,Quality Score,Lead Quality,Call Priority,Owner Name,Owner Email,Contact Email,Enrichment Source,Notes,Call Status,Call Date,Follow Up
15,Gloria's Nursery,(909) 743-3642,3.7,15,"18283 Marygold Ave, Bloomington, CA 92316, USA",Bloomington,CA,92316,http://gloriasnursery.weebly.com/,75,HIGH,HIGH,,,,google_places,,,,
16,H & R Gardening and Landscaping,(909) 754-3254,4.2,74,"3949 Modesto Dr, San Bernardino, CA 92404, USA",San Bernardino,CA,92404,http://www.handrgardeningandlandscaping.com/,75,MEDIUM,HIGH,,,,google_places,,,,
17,Sergio Contreras Landscape Inc.,(310) 477-0586,4.0,21,"4464 W Adams Blvd, Los Angeles, CA 90016, USA",Los Angeles,CA,90016,https://sclandscapeinc.com/,75,HIGH,HIGH,,,,google_places,,,,
18,Forge Aeration & Lawn Care,(949) 329-8526,2.6,18,"26632 Towne Centre Dr, Foothill Ranch, CA 92610, USA",Lake Forest,CA,92610,,75,HIGH,HIGH,,,,google_places,,,,
19,SP Hardscaping & Artificial Grass,(213) 521-8287,3.5,16,"1560 Brookhollow Dr #209, Santa Ana, CA 92705, USA",Santa Ana,CA,92705,,75,HIGH,HIGH,,,,google_places,,,,
20,Ortega Maintenance,(951) 340-0254,3.9,15,"2140 Devonshire Dr, Corona, CA 92879, USA",Corona,CA,92879,http://www.ortegatreeandlawnservices.com/,75,HIGH,HIGH,,,,google_places,,,,
21,GrowAce,(888) 621-0062,4.1,389,"735 Challenger St, Brea, CA 92821, USA",Brea,CA,92821,https://growace.com/,75,MEDIUM,HIGH,,,,google_places,,,,
22,Moon Valley Nurseries,(909) 325-4024,4.1,98,"5211 Edison Ave, Chino, CA 91710, USA",Chino,CA,91710,https://www.moonvalleynurseries.com/locations/chino,75,MEDIUM,HIGH,,,,google_places,,,,
23,Sprinkler Guy LA,(310) 634-5059,3.9,7,"11321 Washington Blvd, Culver City, CA 90230, USA",Culver City,CA,90230,http://cms.sprinklerguyla-com.webnode.com/,70,MEDIUM,HIGH,,,,google_places,,,,
24,Emily Garden Nursery,(714) 557-3404,4.2,26,"Scala nursery, 3439 W MacArthur Blvd, Santa Ana, CA 92704, USA",Santa Ana,CA,92704,http://emilygardennursery.com/,70,MEDIUM,HIGH,,,,google_places,,,,
25,LuxeStone Landscaping Solutions,(949) 580-0067,3.8,5,"377 W Chapman Ave, Placentia, CA 92870, USA",Placentia,CA,92870,http://luxestonelandscapingsolutions.website/,70,MEDIUM,HIGH,,,,google_places,,,,
26,Mimi Nursery,(714) 638-5115,3.8,29,"13352 S Euclid St, Garden Grove, CA 92843, USA",Garden Grove,CA,92843,,70,HIGH,HIGH,,,,google_places,,,,
27,Natures Growers,(714) 999-1190,4.0,5,"1621 S Euclid St, Anaheim, CA 92802, USA",Anaheim,CA,92802,http://naturesgrowers.net/,70,MEDIUM,HIGH,,,,google_places,,,,
28,Marroquin's Landscaping & Maintenance Services Inc.,(951) 295-7042,4.0,9,"3825 Crestmore Rd spc 330, Riverside, CA 92509, USA",Riverside,CA,92509,https://marroquinslandscaping.net/,70,MEDIUM,HIGH,,,,google_places,,,,
29,Casa Verde Landscaping & Garden Service,(310) 971-0780,3.3,7,"22516 Normandie Ave #B41, Torrance, CA 90502, USA",Torrance,CA,90502,,70,MEDIUM,HIGH,,,,google_places,,,,
30,Belman Living Hardscape & Pavers,(844) 728-3711,3.8,6,"2522 Chambers Rd #100, Tustin, CA 92780, USA",Tustin,CA,92780,https://belmanpavers.com/,70,MEDIUM,HIGH,,,,google_places,,,,
31,Urban Landscape,(949) 433-7428,4.1,37,"895 Dove St, Newport Beach, CA 92660, USA",Newport Beach,CA,92660,https://www.urbanlandscape.com/?utm_source=google&utm_medium=organic&utm_campaign=google_business_profile,70,MEDIUM,HIGH,,,,google_places,,,,
32,Gardens Plus +,(909) 986-6666,3.8,32,"120 N Campus Ave, Ontario, CA 91764, USA",Ontario,CA,91764,,70,HIGH,HIGH,,,,google_places,,,,
33,Shiyi succulent garden,(626) 586-0094,4.1,45,"11817 Central Ave, Chino, CA 91710, USA",Chino,CA,91710,http://shiyisucculent.com/?utm_source=gmb&utm_medium=referral,70,MEDIUM,HIGH,,,,google_places,,,,
34,BLVD Nursery,(626) 744-9202,4.7,91,"170 E Orange Grove Blvd, Pasadena, CA 91103, USA",Pasadena,CA,91103,https://www.blvdnursery.com/,68,MEDIUM,HIGH,,,,google_places,,,,
35,Roger's Gardens,(949) 640-5800,4.6,1023,"2301 San Joaquin Hills Rd, Corona Del Mar, CA 92625, USA",Newport Beach,CA,92625,https://www.rogersgardens.com/,68,MEDIUM,HIGH,,,,google_places,,,,
36,Mission Hills Nursery,(619) 295-2808,4.6,147,"1525 Fort Stockton Dr, San Diego, CA 92103, USA",San Diego,CA,92103,https://www.missionhillsnursery.com/,68,MEDIUM,HIGH,,,,google_places,,,,
37,LawnStarter Lawn Care Service,(424) 324-2113,4.5,66,"Hedrick Summit, Suite 483 South, 330 De Neve Dr, Los Angeles, CA 90024, USA",Los Angeles,CA,90024,https://www.lawnstarter.com/los-angeles-ca-lawn-care?utm_source=google&utm_medium=GLocal&utm_campaign=LosAngelesLocal,65,MEDIUM,HIGH,,,,google_places,,,,
38,Garden Center,(562) 776-2200,4.5,59,"7121 Firestone Blvd, Downey, CA 90241, USA",Downey,CA,90241,https://www.homedepot.com/l/Downey/CA/Downey/90241/6627/garden-center?emt=GCGMBGoogleMaps,65,MEDIUM,HIGH,,,,google_places,,,,
39,Deep Roots Garden Center,(310) 376-0567,4.5,75,"18420 Hawthorne Blvd, Torrance, CA 90504, USA",Torrance,CA,90504,https://deep-roots.net/,65,MEDIUM,HIGH,,,,google_places,,,,
40,"Adam's Feed & Garden Supply, Inc.",(323) 587-0670,4.5,108,"8707 Compton Ave, Los Angeles, CA 90002, USA",Los Angeles,CA,90002,http://facebook.com/adamsfeedgardensupply/?rf=160119460677275,65,MEDIUM,HIGH,,,,google_places,,,,
41,Sprinkler Repair Service,(310) 634-5059,4.6,65,"11512 Culver Blvd, Los Angeles, CA 90066, USA",Los Angeles,CA,90066,http://sprinklerrepair1.com/,65,MEDIUM,HIGH,,,,google_places,,,,
42,MC Landscaping LLC,(562) 225-9460,4.7,106,"5780 South St, Lakewood, CA 90713, USA",Lakewood,CA,90713,https://mclandscapingllc.com/,65,MEDIUM,HIGH,,,,google_places,,,,
43,Gutierrez & Sons Tree Services and Landscaping,(310) 596-6704,4.7,114,"879 W 179th St Suite 400 Office #55, Gardena, CA 90248, USA",Gardena,CA,90248,https://www.gutierrezandsonstreeservice.com/,65,MEDIUM,HIGH,,,,google_places,,,,
44,H & H Nursery,(562) 804-2513,4.7,399,"6220 Lakewood Blvd, Lakewood, CA 90712, USA",Lakewood,CA,90712,http://www.hhnursery.com/,65,MEDIUM,HIGH,,,,google_places,,,,
45,Easy Does It Tree Service Inc,(323) 252-1675,4.8,74,"2156 W 30th St, Los Angeles, CA 90018, USA",Los Angeles,CA,90018,http://easydoesittreeservice.com/,65,MEDIUM,HIGH,,,,google_places,,,,
46,J&P Sprinkler repair Services,(310) 906-8168,4.8,58,"10536 S Burl Ave, Lennox, CA 90304, USA",Lennox,CA,90304,https://sprinklersjp.com/,65,MEDIUM,HIGH,,,,google_places,,,,
47,Poly Timber Tree Service Inc.,(626) 478-4558,4.9,82,"8248 Birchbark Ave, Pico Rivera, CA 90660, USA",Pico Rivera,CA,90660,http://www.polytimbertreeservice.com/,65,MEDIUM,HIGH,,,,google_places,,,,
48,Think Green Tree Care Inc.,(626) 510-5144,4.9,64,"16037 Harvest Moon St, La Puente, CA 91744, USA",La Puente,CA,91744,https://treeservicesinlosangeles.com/,65,MEDIUM,HIGH,,,,google_places,,,,
49,Gabriel´s Tree Service And Landscaping,(323) 515-5178,5.0,585,"11528 Felton Ave, Los Angeles, CA 90045, USA",Los Angeles,CA,90045,http://www.gabrieltreeservices.com/,65,MEDIUM,HIGH,,,,google_places,,,,
50,Favor Tree Care,(714) 395-9495,5.0,67,"510 N Wedgewood Dr, Anaheim, CA 92801, USA",Anaheim,CA,92801,https://favorlandandtreecare.com/?utm_campaign=gmb,65,MEDIUM,HIGH,,,,google_places,,,,
51,Environmental Green Tree Care/ Killelea Landscape,(949) 690-6410,5.0,267,"333 W Broadway #1206, Anaheim, CA 92815, USA",Anaheim,CA,92815,http://www.killelealandscapeco.com/,65,MEDIUM,HIGH,,,,google_places,,,,
52,Green Advisor Inc.,(888) 869-0987,5.0,251,"7660 Beverly Blvd, Los Angeles, CA 90036, USA",Los Angeles,CA,90036,https://greenadvisorinc.com/,65,MEDIUM,HIGH,,,,google_places,,,,
53,Ariel Builders Landscape Specialist,(424) 415-8500,5.0,100,"4640 Admiralty Way 5th fl, Marina Del Rey, CA 90292, USA",Marina del Rey,CA,90292,https://ariel-buildersinc.com/ariel-builders-landscape,65,MEDIUM,HIGH,,,,google_places,,,,
54,Top Notch Co & Irrigation,(657) 231-9544,5.0,72,"2612 S Croddy Way Suite i, Santa Ana, CA 92704, USA",Santa Ana,CA,92704,https://topnotchlandscapelighting.com/,65,MEDIUM,HIGH,,,,google_places,,,,
55,Buildcal Landscape,(818) 303-1570,4.2,15,"507 Vine St, Glendale, CA 91204, USA",Glendale,CA,91204,https://buildcal.com/,65,MEDIUM,HIGH,,,,google_places,,,,
56,Hashimoto Nursery,(310) 473-6232,4.5,131,"1935 Sawtelle Blvd, Los Angeles, CA 90025, USA",Los Angeles,CA,90025,http://www.hashimotonursery.com/,65,MEDIUM,HIGH,,,,google_places,,,,
57,San Gabriel Nursery & Florist,(626) 286-3782,4.5,261,"632 S San Gabriel Blvd, San Gabriel, CA 91776, USA",San Gabriel,CA,91776,http://www.sgnursery.com/,65,MEDIUM,HIGH,,,,google_places,,,,
58,Flora Grubb Gardens Plant Nursery,(310) 823-5956,4.5,198,"13198 Mindanao Wy, Marina Del Rey, CA 90292, USA",Marina del Rey,CA,90292,https://www.floragrubb.com/,65,MEDIUM,HIGH,,,,google_places,,,,
59,Sepulveda Garden Center,(818) 784-5180,4.6,97,"16633 Magnolia Blvd, Encino, CA 91436, USA",Los Angeles,CA,91436,https://www.laparks.org/horticulture/sepulveda-garden-center,65,MEDIUM,HIGH,,,,google_places,,,,
60,Merrihew's Sunset Gardens,(310) 452-1051,4.6,110,"1526 Ocean Park Blvd, Santa Monica, CA 90405, USA",Santa Monica,CA,90405,https://www.merrihewsnursery.com/,65,MEDIUM,HIGH,,,,google_places,,,,
61,"Right Way Tree Service, Inc.",(323) 738-0446,4.7,80,"13027 Victory Blvd #509, Valley Glen, CA 91606, USA",Los Angeles,CA,91606,http://rightwaytreeservices.com/,65,MEDIUM,HIGH,,,,google_places,,,,
62,Flores Artscape,(323) 666-3510,4.7,133,"3959 Eagle Rock Blvd, Los Angeles, CA 90065, USA",Los Angeles,CA,90065,https://www.floresartscape.com/,65,MEDIUM,HIGH,,,,google_places,,,,
63,Green Leaf Zone,(818) 658-2776,4.8,69,"15117 Ventura Blvd Suite #1, Sherman Oaks, CA 91403, USA",Los Angeles,CA,91403,https://greenleafzone.com/service-area/sherman-oaks-ca/,65,MEDIUM,HIGH,,,,google_places,,,,
64,California Tree Design Inc.,(562) 253-9577,4.8,65,"3990 N Fair Oaks Ave, Altadena, CA 91001, USA",Altadena,CA,91001,http://www.californiatreedesign.com/,65,MEDIUM,HIGH,,,,google_places,,,,
65,"City Home & Garden, Inc",(213) 622-7705,4.8,91,"737 San Pedro St, Los Angeles, CA 90014, USA",Los Angeles,CA,90014,http://www.cityhomegarden.com/,65,MEDIUM,HIGH,,,,google_places,,,,
66,Unique Home Builders,(855) 477-5086,4.9,244,"17000 Ventura Blvd suite 302, Encino, CA 91316, USA",Los Angeles,CA,91316,https://uniquehbc.com/,65,MEDIUM,HIGH,,,,google_places,,,,
67,Urban Green Remodeling,(310) 601-5775,4.9,62,"1550 N El Centro Ave #1010, Los Angeles, CA 90028, USA",Los Angeles,CA,90028,http://urbangreenremodeling.com/,65,MEDIUM,HIGH,,,,google_places,,,,
68,Pacific Pavingstone,(818) 275-8613,4.9,69,"8309 Tujunga Ave #101, Sun Valley, CA 91352, USA",Los Angeles,CA,91352,https://www.pacificpavingstone.com/,65,MEDIUM,HIGH,,,,google_places,,,,
69,Grow Control Landscape,(626) 627-4583,4.9,50,"2405 Mountain View Rd, El Monte, CA 91733, USA",El Monte,CA,91733,https://www.growcontrollandscape.com/?utm_source=google&utm_medium=seo&utm_campaign=gbp-listing,65,MEDIUM,HIGH,,,,google_places,,,,
70,Pacific Outdoor Living,(818) 275-8271,4.9,313,"8309 Tujunga Ave #201, Sun Valley, CA 91352, USA",Los Angeles,CA,91352,https://pacificoutdoorliving.com/?utm_source=GMB&utm_medium=organic&utm_campaign=sunvalley,65,MEDIUM,HIGH,,,,google_places,,,,
71,Timeless Builds Pool Contractor Los Angeles,(310) 846-8139,4.9,71,"10250 Constellation Blvd #100, Los Angeles, CA 90067, USA",Los Angeles,CA,90067,https://explore.timelessbuilds.com/vision-call/,65,MEDIUM,HIGH,,,,google_places,,,,
72,Socal Landscape & Gardening,(213) 566-7469,5.0,74,"1245 McClellan Dr, Los Angeles, CA 90025, USA",Los Angeles,CA,90025,https://www.socallg.com/,65,MEDIUM,HIGH,,,,google_places,,,,
73,TREE SERVICE SG MONARCH INC,(818) 400-5146,5.0,62,"13031 Willard St, North Hollywood, CA 91605, USA",Los Angeles,CA,91605,https://secure.getjobber.com/website,65,MEDIUM,HIGH,,,,google_places,,,,
74,Safeway Tree Service Inc.,(818) 435-3781,5.0,139,"16716 Horace St, Granada Hills, CA 91344, USA",Los Angeles,CA,91344,http://www.safewaytree.com/,65,MEDIUM,HIGH,,,,google_places,,,,
75,GRANADA TREE SERVICE,(818) 849-8546,5.0,64,"10644 1/2 Sepulveda Blvd, Mission Hills, CA 91345, USA",Los Angeles,CA,91345,http://granadatreeservice.com/,65,MEDIUM,HIGH,,,,google_places,,,,
76,Droughtscape,(818) 446-0707,5.0,87,"Angeles Crest Hwy, La Cañada Flintridge, CA 91011, USA",La Cañada Flintridge,CA,91011,https://www.droughtscapela.com/,65,MEDIUM,HIGH,,,,google_places,,,,
77,"RainforestLA, Inc.",(323) 828-4178,5.0,91,"442 Alandele Ave, Los Angeles, CA 90036, USA",Los Angeles,CA,90036,https://rainforestla.com/,65,MEDIUM,HIGH,,,,google_places,,,,
78,Ernie Ureno Tree Service Inc,(714) 491-7132,4.2,15,"Santa Ana, CA 92704, USA",Santa Ana,CA,92704,https://erniestreeservices.com/,65,MEDIUM,HIGH,,,,google_places,,,,
79,Village Nurseries,(714) 998-8751,4.3,76,"1582 N Tustin St, Orange, CA 92867, USA",Orange,CA,92867,http://www.villagenurserieslc.com/,65,MEDIUM,HIGH,,,,google_places,,,,
80,B & M Lawn & Garden Center,(714) 996-5490,4.4,114,"2801 E Miraloma Ave suite a, Anaheim, CA 92806, USA",Anaheim,CA,92806,http://www.bmproturf.com/,65,MEDIUM,HIGH,,,,google_places,,,,
81,Freddy's Tree Service,(714) 630-1578,4.7,51,"1037 S Marjan St, Anaheim, CA 92806, USA",Anaheim,CA,92806,http://www.freddystreeexperts.com/,65,MEDIUM,HIGH,,,,google_places,,,,
82,Heavenly's Lawn Care,(949) 357-0965,4.8,85,"555 Anton Blvd suit 150, Costa Mesa, CA 92626, USA",Costa Mesa,CA,92626,https://www.heavenlyslawncareoc.com/,65,MEDIUM,HIGH,,,,google_places,,,,
83,Premier Tree Experts,(714) 588-8035,4.8,77,"802 E Lincoln Ave, Orange, CA 92865, USA",Orange,CA,92865,http://www.premiertreeexperts.net/,65,MEDIUM,HIGH,,,,google_places,,,,
84,"David's Tree Service, Inc.",(714) 842-6345,4.8,236,"19051 Gothard St, Huntington Beach, CA 92648, USA",Huntington Beach,CA,92648,http://www.davidstree.com/,65,MEDIUM,HIGH,,,,google_places,,,,
85,Martinez Nursery,(714) 828-4908,4.8,169,"8734 La Palma Ave, Buena Park, CA 90620, USA",Buena Park,CA,90620,http://www.martineznurserysocal.com/,65,MEDIUM,HIGH,,,,google_places,,,,
86,Orange County Farm Supply,(714) 978-6500,4.8,212,"1826 W Chapman Ave, Orange, CA 92868, USA",Orange,CA,92868,https://www.ocfarmsupply.com/,65,MEDIUM,HIGH,,,,google_places,,,,
87,Laguna Hills Nursery,(714) 542-5600,4.8,318,"1829 N Tustin Ave, Santa Ana, CA 92705, USA",Santa Ana,CA,92705,http://www.lagunahillsnursery.com/,65,MEDIUM,HIGH,,,,google_places,,,,
88,M & M Nursery,(714) 538-8042,4.8,78,"380 N Tustin St, Orange, CA 92867, USA",Orange,CA,92867,http://www.fairygardenexpert.net/,65,MEDIUM,HIGH,,,,google_places,,,,
89,The Potting Shed by Carlisle,(714) 468-5154,4.8,123,"10 Plaza Square Suite 102, Orange, CA 92866, USA",Orange,CA,92866,http://www.tpshomeandgarden.com/,65,MEDIUM,HIGH,,,,google_places,,,,
90,TurFresh,(855) 444-8873,5.0,363,"418 Goetz Ave, Santa Ana, CA 92707, USA",Santa Ana,CA,92707,https://www.turfresh.com/,65,MEDIUM,HIGH,,,,google_places,,,,
91,Plant Depot,(949) 240-2107,4.6,260,"32413 San Juan Creek Rd, San Juan Capistrano, CA 92675, USA",San Juan Capistrano,CA,92675,http://www.plantdepot.com/,65,MEDIUM,HIGH,,,,google_places,,,,
92,Green Thumb Nursery - Lake Forest,(949) 828-5575,4.8,979,"23782 Bridger Rd, Lake Forest, CA 92630, USA",Lake Forest,CA,92630,https://www.greenthumb.com/green-thumb-nursery-lake-forest-location/,65,MEDIUM,HIGH,,,,google_places,,,,
93,South Green Tree Care Inc,(949) 910-3195,5.0,271,"23041 Antonio Pkwy, Rancho Santa Margarita, CA 92688, USA",Rancho Santa Margarita,CA,92688,https://www.southgreentreecare.com/,65,MEDIUM,HIGH,,,,google_places,,,,
94,Fontana Nursery,(909) 827-4254,3.9,18,"15380 Foothill Blvd, Fontana, CA 92335, USA",Fontana,CA,92335,,65,HIGH,HIGH,,,,google_places,,,,
95,荷竹園 G & M Nursery,(714) 244-5980,4.1,10,"10151 Cleveland Ave, Riverside, CA 92503, USA",Riverside,CA,92503,https://www.facebook.com/lotusbamboogarden,65,MEDIUM,HIGH,,,,google_places,,,,
96,C&J Gardening Center,(626) 522-5552,4.3,57,"8681 Grove Ave, Rancho Cucamonga, CA 91730, USA",Rancho Cucamonga,CA,91730,https://cjgardeningcenter.com/,65,MEDIUM,HIGH,,,,google_places,,,,
97,J-House Lawn Care and Landscaping,(909) 232-6501,4.4,68,"14945 Yucca Ave unit A, Fontana, CA 92335, USA",Fontana,CA,92335,https://www.yardbook.com/new_quote/0a42bc492b2488a6a900430986bd1839df487dad,65,MEDIUM,HIGH,,,,google_places,,,,
98,LawnStarter Lawn Care Service,(951) 543-4285,4.4,85,"4580 Belford Way, Riverside, CA 92507, USA",Riverside,CA,92507,https://www.lawnstarter.com/riverside-ca-lawn-care?utm_source=google&utm_medium=GLocal&utm_campaign=RiversideLocal,65,MEDIUM,HIGH,,,,google_places,,,,
99,Louie's Nursery #2,(866) 568-2153,4.4,234,"16310 Porter Ave, Riverside, CA 92504, USA",Riverside,CA,92504,http://www.louiesnursery.com/,65,MEDIUM,HIGH,,,,google_places,,,,
100,Adam Hall's Plant Nursery,(951) 674-9422,4.5,153,"28095 Alessandro Blvd, Moreno Valley, CA 92555, USA",Moreno Valley,CA,92555,http://adamhallsnursery.com/,65,MEDIUM,HIGH,,,,google_places,,,,
101,La Madrina's Nursery,(909) 688-3288,4.5,58,"7154 Jurupa Rd, Riverside, CA 92509, USA",Riverside,CA,92509,https://www.facebook.com/LaMadrina0894/,65,MEDIUM,HIGH,,,,google_places,,,,
102,Ortega's Jr Tree Care LLC,(951) 316-2083,4.8,82,"5896 Norwood Ave, Riverside, CA 92505, USA",Riverside,CA,92505,http://www.ortegasjrtreecare.com/,65,MEDIUM,HIGH,,,,google_places,,,,
103,Fernando Tree Services,(909) 382-1246,4.8,144,"1773 Genevieve St, San Bernardino, CA 92405, USA",San Bernardino,CA,92405,http://fernandostreeservices.com/,65,MEDIUM,HIGH,,,,google_places,,,,
104,HLS Tree Service,(909) 279-5191,4.8,100,"1308 Alessandro Rd, Redlands, CA 92373, USA",Redlands,CA,92373,https://hlstreetrimming.com/,65,MEDIUM,HIGH,,,,google_places,,,,
105,Bonnett Irrigation,(951) 688-2100,4.8,139,"3230 Madison St, Riverside, CA 92504, USA",Riverside,CA,92504,https://bonnett-irrigation.shoplightspeed.com/,65,MEDIUM,HIGH,,,,google_places,,,,
106,Blue Rock Materials Garden Center,(951) 242-8080,4.8,81,"28221 Kalmia Ave, Moreno Valley, CA 92555, USA",Moreno Valley,CA,92555,https://bluerockmaterials.com/,65,MEDIUM,HIGH,,,,google_places,,,,
107,Parkview Nursery,(951) 784-6777,4.8,174,"4377 Chicago Ave, Riverside, CA 92507, USA",Riverside,CA,92507,https://parkviewnurseries.com/,65,MEDIUM,HIGH,,,,google_places,,,,
108,Parkview Nursery,(951) 351-6900,4.8,237,"3841 Jackson St, Riverside, CA 92503, USA",Riverside,CA,92503,http://parkviewnurseries.com/,65,MEDIUM,HIGH,,,,google_places,,,,
109,The Grower's Depot,(909) 381-9992,4.8,194,"453 S I St, San Bernardino, CA 92410, USA",San Bernardino,CA,92410,http://www.thegrowersdepot.com/,65,MEDIUM,HIGH,,,,google_places,,,,
110,Oasis Turf & Hardscape,(888) 627-4780,4.9,324,"11801 Pierce St Ste 200, Riverside, CA 92505, USA",Riverside,CA,92505,https://www.oasisturfca.com/,65,MEDIUM,HIGH,,,,google_places,,,,
111,Orozco Landscaping Services,(951) 623-9813,4.9,85,"175 Peppertree Dr, Perris, CA 92571, USA",Perris,CA,92571,https://www.orozcolandscapingservices.com/,65,MEDIUM,HIGH,,,,google_places,,,,
112,MCA Tree Service Inc,(909) 202-3351,4.9,64,"15407 Iris Dr, Fontana, CA 92335, USA",Fontana,CA,92335,https://mcatreeservice.com/,65,MEDIUM,HIGH,,,,google_places,,,,
113,D&N Tree Care Inc,(909) 678-5193,4.9,52,"1448 E Elma Ct, Ontario, CA 91764, USA",Ontario,CA,91764,https://dntreecareinc.com/,65,MEDIUM,HIGH,,,,google_places,,,,
114,Melendez Tree Service,(714) 576-2792,5.0,84,"14099 Knowlwood Ct, Corona, CA 92880, USA",Corona,CA,92880,https://melendeztree.com/,65,MEDIUM,HIGH,,,,google_places,,,,
115,Utility Plumbing Services,(888) 778-8734,5.0,199,"10700 Jersey Blvd #220, Rancho Cucamonga, CA 91730, USA",Rancho Cucamonga,CA,91730,https://utilityplumbingservices.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp-listing,65,MEDIUM,HIGH,,,,google_places,,,,
116,CJS LANDSCAPE SOLUTIONS,(858) 899-3817,4.1,17,"2034 Balboa Ave, San Diego, CA 92109, USA",San Diego,CA,92109,http://cjslandscapesolutions.com/,65,MEDIUM,HIGH,,,,google_places,,,,
117,Ultra Landscaping,(619) 749-6365,4.2,10,"12254 Lakeshore Dr, Lakeside, CA 92040, USA",Lakeside,CA,92040,https://www.ultralandscapingsandiego.com/,65,MEDIUM,HIGH,,,,google_places,,,,
118,North Park Nursery,(619) 795-1855,4.3,112,"2335 University Ave, San Diego, CA 92104, USA",San Diego,CA,92104,http://northparknursery.com/,65,MEDIUM,HIGH,,,,google_places,,,,
119,Everde Growers - Miramar Farm and Landscape Center,(858) 552-0592,4.3,84,"5400 Governor Dr, San Diego, CA 92122, USA",San Diego,CA,92122,https://everde.com/,65,MEDIUM,HIGH,,,,google_places,,,,
120,LawnStarter,(858) 943-2121,4.6,252,"5613 Campanile Way, San Diego, CA 92115, USA",San Diego,CA,92115,https://www.lawnstarter.com/san-diego-ca-lawn-care?utm_source=google&utm_medium=GLocal&utm_campaign=SanDiegoLocal,65,MEDIUM,HIGH,,,,google_places,,,,
121,Terra Bella Nursery,(619) 585-1118,4.7,225,"3535 Camino del Rio W, San Diego, CA 92110, USA",San Diego,CA,92110,https://www.terrabellanursery.com/,65,MEDIUM,HIGH,,,,google_places,,,,
122,"Terra Bella Nursery, Inc.",(619) 585-1118,4.7,217,"302 Hollister St, San Diego, CA 92154, USA",San Diego,CA,92154,http://www.terrabellanursery.com/,65,MEDIUM,HIGH,,,,google_places,,,,
